???,?????,??????????,???????,??????? ??????????????,????????????,???????????,??????,????? ???????? ??????????,??????? ???????? ??????????,????? ???????????? ??????????,??????? ??????????? ??????????,?????
track1,0,26,0,0,0,0,0,0,0,0,0,0
track2,3420,17,0,201.1764706,3420,0,3420,6437.647059,378.6851211,11008376.47,804.7058824,3420
track3,0,16,0,0,0,0,0,0,0,0,0,0
track4,780,18,0,43.33333333,780,0,780,1473.333333,81.85185185,574600,178.6679104,780
track5,6900,33,0,209.0909091,6900,0,6900,13381.81818,405.5096419,46167272.73,1182.796798,6900
track6,0,5,0,0,0,0,0,0,0,0,0,0
track7,10080,18,0,560,10080,0,10080,19040,1057.777778,95961600,2308.93915,10080
track8,14340,17,0,843.5294118,13920,0,13920,26152.94118,1538.408304,181774588.2,3269.95762,14340
track9,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track10,0,3,0,0,0,0,0,0,0,0,0,0
track11,0,11,0,0,0,0,0,0,0,0,0,0
track12,9000,33,0,272.7272727,6480,0,6480,16909.09091,512.3966942,45886254.55,1179.191487,9000
track13,24660,22,0,1120.909091,24660,0,24660,47078.18182,2139.917355,580473981.8,5136.650756,24660
track14,1200,9,0,133.3333333,1200,0,1200,2133.333333,237.037037,1280000,377.1236166,1200
track15,23160,15,0,1544,23160,0,23160,43232,2882.133333,500626560,5777.119005,23160
track16,0,6,0,0,0,0,0,0,0,0,0,0
track17,13560,27,0,502.2222222,13500,0,13500,25995.55556,962.7983539,175443466.7,2549.09909,13560
track18,420,26,0,16.15384615,420,0,420,807.6923077,31.06508876,169615.3846,80.76923077,420
track19,0,17,0,0,0,0,0,0,0,0,0,0
track20,0,16,0,0,0,0,0,0,0,0,0,0
track21,480,18,0,26.66666667,480,0,480,906.6666667,50.37037037,217600,109.9494833,480
track22,360,33,0,10.90909091,360,0,360,698.1818182,21.15702479,125672.7273,61.71113727,360
track23,0,5,0,0,0,0,0,0,0,0,0,0
track24,12840,18,0,713.3333333,12540,0,12540,23653.33333,1314.074074,148182400,2869.208176,12840
track25,13320,17,0,783.5294118,12600,0,12600,23632.94118,1390.17301,148697788.2,2957.520705,13320
track26,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track27,0,3,0,0,0,0,0,0,0,0,0,0
track28,1860,11,0,169.0909091,1860,0,1860,3381.818182,307.4380165,3145090.909,534.7124044,1860
track29,18420,33,0,558.1818182,13500,0,13500,34607.27273,1048.705234,196174690.9,2438.173005,18420
track30,22020,22,0,1000.909091,21240,0,21240,40478.18182,1839.917355,429705981.8,4419.512426,22020
track31,0,9,0,0,0,0,0,0,0,0,0,0
track32,14760,15,0,984,13560,0,13560,25584,1705.6,170789760,3374.312374,14760
track33,0,6,0,0,0,0,0,0,0,0,0,0
track34,11100,27,0,411.1111111,7320,0,7320,19733.33333,730.8641975,56813066.67,1450.581833,11100
track35,0,26,0,0,0,0,0,0,0,0,0,0
track36,3420,17,0,201.1764706,3420,0,3420,6437.647059,378.6851211,11008376.47,804.7058824,3420
track37,0,16,0,0,0,0,0,0,0,0,0,0
track38,12420,18,0,690,8700,0,8700,22080,1226.666667,80958600,2120.778159,12420
track39,10980,33,0,332.7272727,8820,0,8820,20629.09091,625.1239669,78804654.55,1545.321919,10980
track40,0,5,0,0,0,0,0,0,0,0,0,0
track41,3060,18,0,170,3060,0,3060,5780,321.1111111,8843400,700.9279564,3060
track42,3540,17,0,208.2352941,3120,0,3120,6007.058824,353.3564014,9101647.059,731.7041776,3540
track43,5280,9,0,586.6666667,5280,0,5280,9386.666667,1042.962963,24780800,1659.343913,5280
track44,0,3,0,0,0,0,0,0,0,0,0,0
track45,420,11,0,38.18181818,420,0,420,763.6363636,69.4214876,160363.6364,120.7415107,420
